15.539,3910.409
17.967,1679.012
20.395,569.287
22.821,167.129
25.246,-84.380
27.671,-111.250
30.094,-43.316
32.517,20.375
34.939,-31.711
37.359,-106.724
39.779,-10.691
42.198,0.031
44.616,-143.536
47.033,-165.797
49.449,-85.016
51.865,-296.281
54.279,-254.128
56.692,-102.550
59.105,-80.021
61.516,-122.564
63.927,-115.834
66.337,-78.839
68.746,-41.144
71.153,-34.896
73.560,-46.357
75.967,5.644
78.372,-9.563
80.776,-25.106
83.179,10.745
85.582,26.582
87.983,85.915
90.384,77.470
92.783,58.332
95.182,85.769
97.580,58.982
99.977,31.297
102.373,72.747
104.768,68.245
107.162,-5.654
109.556,38.781
111.948,-1.126
114.340,61.871
116.730,112.657
119.120,-25.272
121.509,-1.795
123.897,-4.999
126.284,129.816
128.670,250.588
131.055,53.685
133.439,-15.122
135.823,115.118
138.205,155.610
140.587,21.972
142.967,-22.757
145.347,112.873
147.726,99.284
150.104,54.226
152.481,107.714
154.857,52.779
157.232,-13.228
159.607,-5.487
161.980,38.693
164.353,45.735
166.725,31.110
169.095,91.405
171.465,129.411
173.834,47.400
176.202,-52.664
178.570,6.648
180.936,12.114
183.302,4.126
185.666,229.205
188.030,509.666
190.393,223.261
192.754,47.868
195.115,68.601
197.476,75.261
199.835,44.108
202.193,-4.953
204.551,-18.507
206.907,112.127
209.263,191.572
211.618,17.008
213.971,17.602
216.324,101.951
218.677,109.972
221.028,50.722
223.378,7.727
225.728,-25.208
228.076,3.954
230.424,2.961
232.771,-10.651
235.117,79.784
237.462,7.119
239.806,-3.515
242.150,77.061
244.492,109.652
246.834,91.216
249.174,-10.082
251.514,58.001
253.853,104.608
256.191,-22.360
258.528,26.772
260.865,24.898
263.200,70.116
265.535,85.266
267.868,11.821
270.201,122.944
272.533,125.877
274.864,107.341
277.194,94.482
279.524,19.413
281.852,21.722
284.180,1.421
286.506,69.654
288.832,147.913
291.157,115.819
293.481,204.506
295.805,187.956
298.127,79.156
300.449,48.695
302.769,110.903
305.089,107.658
307.408,141.402
309.726,146.192
312.043,92.852
314.359,80.052
316.675,101.070
318.990,138.128
321.303,123.170
323.616,104.596
325.928,143.338
328.239,69.770
330.550,78.008
332.859,129.460
335.168,125.273
337.475,110.764
339.782,83.685
342.088,107.592
344.393,130.647
346.698,133.965
349.001,151.922
351.304,80.609
353.605,120.978
355.906,115.671
358.206,21.332
360.505,84.644
362.804,75.098
365.101,28.067
367.398,53.473
369.693,151.365
371.988,195.059
374.282,73.311
376.575,18.251
378.868,60.608
381.159,49.375
383.450,0.809
385.740,128.431
388.029,101.927
390.317,30.725
392.604,70.682
394.890,17.048
397.176,42.961
399.461,68.006
401.744,87.011
404.028,99.518
406.310,57.563
408.591,144.653
410.871,61.792
413.151,-5.006
415.430,75.009
417.708,-6.357
419.985,74.375
422.261,87.485
424.537,63.739
426.811,92.345
429.085,16.270
431.358,44.571
433.630,88.966
435.901,102.150
438.172,65.786
440.441,9.561
442.710,247.422
444.978,184.457
447.245,71.632
449.511,158.581
451.776,1.360
454.041,128.264
456.305,140.930
458.567,96.398
460.829,134.019
463.091,15.633
465.351,135.402
467.611,149.429
469.869,86.978
472.127,73.614
474.384,-17.792
476.640,128.959
478.896,175.208
481.150,51.220
483.404,-3.466
485.657,73.333
487.909,99.085
490.160,130.665
492.411,87.325
494.660,-12.659
496.909,33.314
499.157,108.426
501.404,39.804
503.650,11.584
505.896,74.445
508.140,28.640
510.384,47.680
512.627,62.239
514.869,77.518
517.111,67.405
519.351,10.212
521.591,107.386
523.830,24.288
526.068,36.764
528.305,187.555
530.542,98.724
532.777,67.813
535.012,83.148
537.246,44.440
539.479,62.631
541.711,182.020
543.943,62.121
546.174,1.879
548.403,19.172
550.633,13.569
552.861,21.124
555.088,48.670
557.315,1.087
559.541,-1.521
561.766,125.562
563.990,237.020
566.213,145.861
568.436,20.923
570.657,17.665
572.878,69.629
575.099,47.156
577.318,11.464
579.536,89.506
581.754,106.344
583.971,19.987
586.187,-10.371
588.402,55.881
590.617,60.193
592.830,28.339
595.043,78.213
597.255,137.393
599.467,36.374
601.677,43.162
603.887,66.487
606.095,169.426
608.303,283.458
610.511,115.573
612.717,10.268
614.923,54.359
617.127,90.433
619.331,68.561
621.535,71.788
623.737,13.157
625.939,43.431
628.140,32.496
630.340,-9.867
632.539,98.466
634.737,106.781
636.935,87.688
