15.539,4406.419
17.967,1784.308
20.395,495.222
22.821,101.391
25.246,-94.260
27.671,-106.230
30.094,-62.102
32.517,-50.205
34.939,-58.472
37.359,-59.197
39.779,-45.031
42.198,18.320
44.616,-53.651
47.033,-167.508
49.449,-205.110
51.865,-273.689
54.279,-134.686
56.692,-121.208
59.105,-203.183
61.516,-125.503
63.927,-128.348
66.337,-127.963
68.746,-83.174
71.153,-60.770
73.560,-45.155
75.967,106.609
78.372,62.890
80.776,-6.025
83.179,39.510
85.582,9.623
87.983,38.089
90.384,119.548
92.783,132.153
95.182,111.839
97.580,184.464
99.977,104.083
102.373,113.315
104.768,111.228
107.162,-7.081
109.556,83.121
111.948,62.586
114.340,137.236
116.730,148.406
119.120,-72.302
121.509,28.331
123.897,48.906
126.284,210.294
128.670,326.523
131.055,16.600
133.439,2.749
135.823,157.701
138.205,152.120
140.587,-7.346
142.967,-15.102
145.347,211.647
147.726,117.798
150.104,-2.872
152.481,84.890
154.857,-1.964
157.232,52.373
159.607,21.634
161.980,-23.747
164.353,51.906
166.725,58.690
169.095,143.270
171.465,130.805
173.834,48.956
176.202,30.236
178.570,-12.031
180.936,44.410
183.302,39.831
185.666,251.393
188.030,612.488
190.393,154.323
192.754,8.484
195.115,103.046
197.476,114.188
199.835,145.950
202.193,25.745
204.551,-49.943
206.907,103.551
209.263,241.532
211.618,84.324
213.971,27.706
216.324,66.427
218.677,87.492
221.028,103.137
223.378,138.418
225.728,49.550
228.076,65.214
230.424,71.658
232.771,-8.695
235.117,27.353
237.462,-2.426
239.806,4.540
242.150,63.711
244.492,96.893
246.834,86.651
249.174,-8.172
251.514,20.774
253.853,86.528
256.191,43.764
258.528,43.153
260.865,14.599
263.200,-2.338
265.535,26.704
267.868,54.120
270.201,48.160
272.533,101.546
274.864,47.549
277.194,8.359
279.524,103.490
281.852,8.126
284.180,46.359
286.506,77.076
288.832,73.923
291.157,167.553
293.481,139.934
295.805,106.007
298.127,68.983
300.449,47.003
302.769,99.483
305.089,138.355
307.408,114.629
309.726,70.455
312.043,67.693
314.359,83.611
316.675,24.991
318.990,14.419
321.303,19.853
323.616,62.576
325.928,153.018
328.239,9.275
330.550,-5.743
332.859,105.391
335.168,140.233
337.475,121.231
339.782,154.957
342.088,116.554
344.393,61.139
346.698,95.050
349.001,142.294
351.304,72.871
353.605,74.565
355.906,137.565
358.206,127.648
360.505,58.265
362.804,46.529
365.101,21.593
367.398,36.012
369.693,120.779
371.988,158.084
374.282,128.998
376.575,34.829
378.868,4.243
381.159,58.341
383.450,69.916
385.740,127.667
388.029,110.849
390.317,50.876
392.604,41.706
394.890,52.728
397.176,81.158
399.461,111.208
401.744,123.608
404.028,90.882
406.310,54.112
408.591,164.458
410.871,44.147
413.151,-28.519
415.430,120.578
417.708,57.139
419.985,142.798
422.261,115.572
424.537,28.843
426.811,53.222
429.085,57.313
431.358,150.344
433.630,147.897
435.901,134.684
438.172,121.152
440.441,-12.284
442.710,278.846
444.978,254.757
447.245,126.417
449.511,200.155
451.776,-3.719
454.041,82.334
456.305,74.223
458.567,53.205
460.829,138.172
463.091,-0.324
465.351,14.198
467.611,51.549
469.869,65.445
472.127,58.814
